Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Genomic Alterations (GA) in TP53 Including the Targetable TP53 Y220C Mutation in Clinically Advanced Non-small Cell Lung Cancer (CANSCLC),Jeffrey S. Ross ,"Syracuse, United States of America, NY","Departments of Pathology, Upstate Medical University, Syracuse, NY USA.",1936P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Association between metformin use in individuals with prostate cancer and mortality: an analysis of the RADICAL-PC study,Jehonathan H. Pinthus ,"Hamilton, Canada","Division of Urology, Department of Surgery, McMaster University, Hamilton, Ontario, Canada.",2427P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
Comparison of outcomes in clinical trials of locally advanced dMMR colon cancer: FOxTROT and NICHE-2,Jenny Seligmann ,"Leeds, United Kingdom, Yorkshire","Division of Oncology, Leeds Institute of Medical Research at St James's, School of Medicine, University of Leeds, Leeds, UK.",724O,Hamburg Auditorium - CityCube A,10/18/2025,14:55 - 15:05,Proffered Paper,"GI tumours, lower digestive"
Advancements in Metastatic Colorectal Cancer: Optimizing Treatment Options,Jenny Seligmann ,"Leeds, United Kingdom, Yorkshire","Division of Oncology, Leeds Institute of Medical Research at St James's, School of Medicine, University of Leeds, Leeds, UK.",,Essen Auditorium - Hall 7.2a,10/18/2025,18:30 - 20:00,Industry-Sponsored Symposium,Advancements and Patient Support
"Survival in non-endometrioid endometrial cancer: a nationwide, population-based Swedish gynecologic cancer group study",Jenny-Maria Jonsson ,"Lund, Sweden","Division of Oncology, Department of Clinical Sciences Lund, and Lund University Cancer Center, Lund University, Lund, Sweden.",1136P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Immune-mediated adverse events (imAEs) associated with sasanlimab in combination with Bacillus Calmette-Guerin (BCG): Phase 3 study (CREST),Jens Bedke ,"Stuttgart, Germany","Department of Urology and Transplantation Surgery, Eva Mayr-Stihl Cancer Center, Stuttgart, Germany.",3078P,Hall 25,10/18/2025,12-13:00,Poster,Urothelial cancer
"Genomic tumor board (GTB) implementation in a cluster randomized controlled trial (RCT) comparing an educationally enhanced genomic tumor board (EGTB) intervention to usual practice (S2108CD, NCT# 05455606)",Jens Rueter ,"Farmington, United States of America","The Jackson Laboratory for Genomic Medicine, Farmington, CT, USA.",3140P,Hall 25,10/18/2025,12-13:00,Poster,General interest
Guideline-Practice Gap in Molecular Subtyping and Lynch Syndrome Screening for Endometrial Cancer in Korea,Jeong-Hyun Kim ,"Seoul, Republic of Korea","Department of Urology, Kangwon National University School of Medicine, Chuncheon, Korea.",1209P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Prospective Randomized Phase 2 trial of 177Lutetium-PSMA therapy Neoadjuvant to Stereotactic Ablative Radiotherapy for recurrent Oligo-Metastatic Hormone-Sensitive Prostate Cancer (LUNAR NCT05496959),Jeremie Calais ,"Los Angeles, United States of America","Ahmanson Translational Theranostics Division, Department of Molecular and Medical Pharmacology, University of California-Los Angeles, CA, USA.",LBA90,Cologne Auditorium - CityCube A,10/18/2025,16:50 - 17:00,Proffered Paper,Radioligand therapeutics
Predictive Value of PD-L1 Expression in Muscle-Invasive Bladder Cancer Patients Treated with Neoadjuvant Chemo-Immunotherapy in the AURA Trial.,Jeremy Blanc ,"Brussels, Belgium","Medical Oncology Department, Brussels, Belgium.",3128eP,Hall 25,10/18/2025,12-13:00,ePoster,Urothelial cancer
Optimising outcomes beyond 5 years in 1L ALK+ aNSCLC,Jessica J. Lin ,"Boston, United States of America","Mass General Cancer Center, Boston, MA, USA.",,Karlsruhe Auditorium - Hall 5.2,10/18/2025,13:00 - 14:30,Industry-Sponsored Symposium,Optimising long-term outcomes in ALK+ aNSCLC
"Applied first-line systemic treatments, treatment modifications and outcomes in non-oncogenic metastatic non-small cell lung cancer in the Netherlands in 2021-2022 vs 2019-2020",Jet Wies Ankersmid-Matos Miguel ,"Utrecht, Netherlands",,1878P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Development and nation-wide implementation of a patient decision aid including real-world outcome information to support shared decision-making about treatment for non-small cell lung cancer.,Jet Wies Ankersmid-Matos Miguel ,"Utrecht, Netherlands",,1894P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
"Nofazinlimab combined with lenvatinib versus placebo plus lenvatinib as first-line therapy for unresectable or metastatic hepatocellular carcinoma: a phase 3, randomized, double-blind, multiregional study (CS1003-305)",Jia Fan ,"Shanghai, China","Department of Hepatobiliary Surgery and Liver Transplantation, Zhongshan Hospital, Fudan University, Shanghai, China, Liver Cancer Institute, Zhongshan Hospital, Fudan University, Shanghai, China",LBA52,Hanover Auditorium - Hall 7.2c,10/18/2025,11:10 - 11:15,Mini Oral Session,"GI tumours, upper digestive"
Immunotherapy and ADCs in tumour-agnostic setting,Jia Jenny Liu ,"Darlinghurst, Australia","Garvan Institute of Medical Research, Darlinghurst, Australia.",,Cologne Auditorium - CityCube A,10/18/2025,10:35 - 10:50,Symposium,Ready for prime time?
Immunosuppressive TREM2+ Tumor-Associated Macrophages Potentiate Immunotherapy Responsiveness in Patients with Clear Cell Renal Cell Carcinoma (ccRCC),Jiahao Wang ,"Shanghai, China","Department of Urology, The Second Hospital of Tianjin Medical University, Tianjin, China.",2642P,Hall 25,10/18/2025,12-13:00,Poster,Renal cancer
Deciphering Immune microenvironment landscape in renal cell carcinoma with different regimen:a single cell RNA sequencing study,Jiahao Wang ,"Shanghai, China","Department of Urology, The Second Hospital of Tianjin Medical University, Tianjin, China.",2657eP,Hall 25,10/18/2025,12-13:00,ePoster,Renal cancer
Biparatopic anti-HER2 antibody drug conjugate (ADC) JSKN003 in the treatment of primary platinum-refractory ovarian cancer (OC),Jiajia Li ,"Shanghai, China","Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. chenyt58@mail.sysu.edu.cn.",1079P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Expression Profiling of ADC Targets in Ovarian Clear Cell Carcinoma: Implications for Future Therapeutic Development,Jiajia Li ,"Shanghai, China","Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangzhou, China. chenyt58@mail.sysu.edu.cn.",1143P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
CHAMPION study (NCT05717582) : a prospective study of maximal-cytoreductive therapies for patients with de novo metastatic hormone-sensitive prostate cancer who achieve oligopersistent metastases during systemic treatment with apalutamide plus androgen deprivation therapy,Jian Pan ,"Shanghai, China","Institute of Pediatric Research, Children's Hospital of Soochow University, Suzhou 215003, China.",2449P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
First-line camrelizumab plus chemotherapy in patients with advanced non-squamous NSCLC and brain metastases: Effectiveness results from a nationwide retrospective study,JIanfeng Peng ,"Jinan,China, China","Department of Radiation Oncology, Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences, Jinan, China",1942P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Evaluation of efficacy differences among three treatment modalities in elderly lung cancer patients: bronchial artery chemoembolization(BACE) combined with immunotherapy versus traditional chemotherapy combined with immunotherapy versus best supportive care,Jianhui Huang ,"Lishui City, China","Department of Oncology, Lishui Municipal Central Hospital, Lishui 323000, China.",2077eP,Hall 25,10/18/2025,12-13:00,ePoster,"NSCLC, metastatic"
Clinical Management Strategies and Long-Term Outcomes in Patients with Atypical Small Acinar Proliferation Diagnosed via Prostate Biopsy: A Collaborative Multicenter Real-World Study by Urologists and Pathologists (YHCG-002 Study),Jian-ting Xu ,"Ningbo, China","Department of Urology, The Affiliated LiHuiLi Hospital of Ningbo University, Ningbo, China.",2487P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
Final analysis of open-label single-arm study on dabrafenib-trametinib (Dab/Tra) in Chinese patients with BRAF V600E+ metastatic non-small cell lung cancer (NSCLC),Jianya Zhou ,"Hangzhou, China","Department of Respiratory Disease, Thoracic Disease Center, Zhejiang University School of Medicine First Affiliated Hospital, China.",2004P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Multi-omics Uncovers the Molecular Machinery Underlying Autophagic Regulation Leading to Metastasis in Chromophobe Renal Cell Carcinoma,Jiayi Lu ,"Shanghai, China","Department of Urology, Renji Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",2661eP,Hall 25,10/18/2025,12-13:00,ePoster,Renal cancer
Association Between Immune-Related Adverse Events and Clinical Outcomes in Non-Small Cell Lung Cancer Patients Treated With Chemo-Immunotherapy: A Post Hoc Analysis of the Phase III Choice-01 Trial,Jie Wang ,"Beijing, China",Department of Thoracic Medical Oncology Cancer Hospital Chinese Academy of Medical Sciences Beijing China.,1865P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
"Efficacy and safety of first-line etoposide plus anlotinib and envafolimab in elderly patients with small-cell lung cancer: an open-label, single-arm, phase II study",Jie Xu ,"Tianjin, China","School of Basic Medicine, Ningxia Medical University, Yinchuan, P.R. China.",2793eP,Hall 25,10/18/2025,12-13:00,ePoster,SCLC
PD-1/CD20 Dual-Target Therapy in Unfit Diffuse Large B-Cell Lymphoma: A Real-World Pilot Study,Jiesong Wang ,"Fuzhou, China","Department of Lymphoma & Head and Neck Oncology, College of Clinical Medicine for Oncology, Fujian Medical University, Fuzhou, China.",1298eP,Hall 25,10/18/2025,12-13:00,ePoster,Haematological malignancies
Iparomlimab and tuvonralimab (QL1706) vs cadonilimab for previously treated recurrent/metastatic cervical cancer (r/mCC): An unanchored matching-adjusted indirect comparison (MAIC),Jihong Liu ,"Guangzhou, China","Department of Gynecologic Oncology, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Guangzhou, China.",1212P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Predicting Brain Metastasis at the Time of Diagnosis in Stage IV Lung Adenocarcinoma,Jin Woo Kim ,"Seoul, Republic of Korea","Department of Oral and Maxillofacial Surgery, School of Medicine, Ewha Womans University, Seoul, Republic of Korea.",2072eP,Hall 25,10/18/2025,12-13:00,ePoster,"NSCLC, metastatic"
"Neoadjuvant Camrelizumab with Chemotherapy in PD-L1-Negative Locally Advanced Cervical Cancer: An Open-Label, Multi-Center, Single-Arm, Phase 2 Trial",Jing Chen ,"Wuhan, China","Department of Pediatrics, Wuhan Fourth Hospital, No.76, Wuhan, Hubei, China.",1188P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
"Efficacy of Disitamab Vedotin, AK104, and Bevacizumab in HER2-Positive Recurrent Ovarian Clear Cell Cancer: Phase 2 DAB-OCCC Trial",Jing Li ,"Guangzhou, China","Medical Imaging Center, First Affiliated Hospital of Jinan University, Guangzhou, China.",1080P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Efficiency and safety of immunotherapy combined with concurrent chemoradiotherapy for locally advanced cervical cancer: A systematic review and meta-analysis,Jingjing Wang ,"Hunan, China","Department of Radiation Oncology, The First Hospital of China Medical University, Shenyang, China.",1178P,Hall 25,10/18/2025,12-13:00,Poster,Gynaecological cancers
Phase 2 study of disitamab vedotin in combination with anlotinib in patients with HER-2 expressing platinum-resistant ovarian cancer.,Jingjing Wang ,"Hunan, China","Department of Radiation Oncology, The First Hospital of China Medical University, Shenyang, China.",1236eTiP,Hall 25,10/18/2025,12-13:00,ePoster,Gynaecological cancers
"PLB-1004 in advanced non-small cell lung cancer (NSCLC) with exon 20 insertion mutations (ex20ins): a multicenter, single-arm, phase 2 study",Jin-Ji Yang ,"Guangzhou, China, Guangdong","Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China",1953P,Hall 25,10/18/2025,12-13:00,Poster,"NSCLC, metastatic"
Pola-R-CHP Regimen as First-Line Treatment for Newly Diagnosed High-Risk Diffuse Large B-Cell Lymphoma (DLBCL) Patients,Jinping Pi ,"Beijing, China","Department of Medical Oncology, Beijing Chao yang District San huan Cancer Hospital, Beijing, China.",1291eP,Hall 25,10/18/2025,12-13:00,ePoster,Haematological malignancies
"Demonstrating Efficacy of KLS-3021, Oncolytic Vaccinia Virus, on PC-3 Human Prostate Cancer Cells Growing in Prostate and Regional Lymph Nodes Using Orthotopic Mouse Models",Jinwon Seo ,"Seoul, Republic of Korea","Institute of BioInnovation Research, Inc., Magok-dong",2529eP,Hall 25,10/18/2025,12-13:00,ePoster,Prostate cancer
CLEAR-IT: Preliminary Results from a Phase II Study Evaluating Cadonilimab Plus Lenvatinib in Previously Immunotherapy-Treated Advanced/Metastatic Clear Cell Renal Cell Carcinoma (ccRCC),Jiwei Huang ,"Shanghai, China","Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.",2623P,Hall 25,10/18/2025,12-13:00,Poster,Renal cancer
Clinical Value of Dynamic ctDNA-MRD Monitoring in Advanced mRCC Patients Receiving TKIs Plus PD-1 Inhibitor Therapy,Jiwei Huang ,"Shanghai, China","Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.",2660eP,Hall 25,10/18/2025,12-13:00,ePoster,Renal cancer
Circulating and Urine Tumor DNA Dynamics Predict Minimal Residual Disease and Guide Adjuvant Therapy in Locally Advanced Upper Tract Urothelial Carcinoma (CURATE-UTUC): A Multicenter Prospective Longitudinal Cohort Study,Jiwei Huang ,"Shanghai, China","Department of Urology, Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.",3075P,Hall 25,10/18/2025,12-13:00,Poster,Urothelial cancer
Who should not receive immunotherapy today?,Joachim G. Aerts ,"Rotterdam, Netherlands, Noord Brabant","Department of Pulmonary Medicine, Erasmus Medical Centre, Rotterdam, the Netherlands, Erasmus MC Cancer Institute, Erasmus Medical Center, Rotterdam",,Munich Auditorium - CityCube B,10/18/2025,15:00 - 15:15,Symposium,Where are we?
Time to response with talazoparib (TALA) + enzalutamide (ENZA) in patients (pts) with metastatic castration-resistant prostate cancer (mCRPC) in TALAPRO-2,Joan Carles Galceran ,"Barcelona, Spain","Department of Medical Oncology, Vall D'Hebron University Hospital, Spain, Vall d'Hebron Institute of Oncology, Spain.",2428P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
Identification of a novel cluster of patients with prostate cancer in Japan with improved quality of life - results of the largest international digital survey of people affected by prostate cancer,Joe O'Sullivan ,"Belfast, United Kingdom","Queen's University Belfast, BT9 7AE, United Kingdom.",2474P,Hall 25,10/18/2025,12-13:00,Poster,Prostate cancer
